schema_version,ssoc_2024,title,major_group_code,major_group,sub_major_group_code,minor_group_code,unit_group_code,score_status,ilo_mean_score_2025_median,ilo_mean_score_2025_min,ilo_mean_score_2025_max,ai_work_pressure_percentile,ai_work_pressure_midrank_position,ai_work_pressure_population_size,ilo_potential25_categories,ilo_potential25_least_exposed,ilo_potential25_most_exposed,ilo_task_score_sd_2025_median,ilo_task_score_sd_2025_min,ilo_task_score_sd_2025_max,official_isco08_codes,scored_isco08_codes,unscored_official_isco08_codes,mapping_quality,evidence_support,basic_monthly_p25_sgd,basic_monthly_median_sgd,basic_monthly_p75_sgd,gross_monthly_p25_sgd,gross_monthly_median_sgd,gross_monthly_p75_sgd,wage_reference_period,wage_source_id,direct_demand_signal_count,demand_source_keys,demand_source_occupations,labour_context_grain,labour_context_cluster,labour_context_data_as_of,evidence_data_as_of,limitations
9.0,12112,Administration manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12,121,1211,scored,0.42,0.42,0.42,75.1,741.5,987,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,0.1,0.1,0.1,1219,1219,,one_to_one,official_crosswalk,5305,7970,10800,5450,8050,10950,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,12113,Audit manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12,121,1211,scored,0.37,0.37,0.37,63.6,628.5,987,Minimal Exposure,Minimal Exposure,Minimal Exposure,0.04,0.04,0.04,1211,1211,,one_to_one,official_crosswalk,8100,10514,14097,8262,10650,14402,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,12121,Personnel/Human resource manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12,121,1212,scored,0.36,0.36,0.36,60.2,594.5,987,Minimal Exposure,Minimal Exposure,Minimal Exposure,0.05,0.05,0.05,1212,1212,,one_to_one,official_crosswalk,5993,8588,13827,6100,8759,14045,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,12122,Industrial relations manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12,121,1212,scored,0.36,0.36,0.36,60.2,594.5,987,Minimal Exposure,Minimal Exposure,Minimal Exposure,0.05,0.05,0.05,1212,1212,,one_to_one,official_crosswalk,4928,6833,9242,5632,7804,9937,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,12123,Training manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12,121,1212,scored,0.36,0.36,0.36,60.2,594.5,987,Minimal Exposure,Minimal Exposure,Minimal Exposure,0.05,0.05,0.05,1212,1212,,one_to_one,official_crosswalk,5886,8000,10800,6079,8082,11055,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,12131,Policy manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12,121,1213,scored,0.36,0.36,0.36,60.2,594.5,987,Not Exposed,Not Exposed,Not Exposed,0.04,0.04,0.04,1213,1213,,one_to_one,official_crosswalk,8243,12208,19593,8540,12512,20000,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,12132,Strategic planning manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12,121,1213,scored,0.36,0.36,0.36,60.2,594.5,987,Not Exposed,Not Exposed,Not Exposed,0.04,0.04,0.04,1213,1213,,one_to_one,official_crosswalk,7900,10937,15881,8103,11150,16387,2025-06,mom_occupational_wages_2025,1,mom_jobs_in_demand_2025,Strategic planning manager,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,12133,Risk management manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12,121,1213,scored,0.36,0.36,0.36,60.2,594.5,987,Not Exposed,Not Exposed,Not Exposed,0.04,0.04,0.04,1213,1213,,one_to_one,official_crosswalk,12250,16833,19984,12611,17077,20000,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,12191,Premises/Facilities maintenance manager (excluding building security),1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12,121,1219,scored,0.42,0.42,0.42,75.1,741.5,987,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,0.1,0.1,0.1,1219,1219,,one_to_one,official_crosswalk,5911,7922,11079,6045,8070,11351,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,12192,Landscape manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12,121,1219,scored,0.42,0.42,0.42,75.1,741.5,987,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,0.1,0.1,0.1,1219,1219,,one_to_one,official_crosswalk,3100,4580,5914,3500,4826,6500,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,12193,Cleaning operations manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12,121,1219,scored,0.42,0.42,0.42,75.1,741.5,987,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,0.1,0.1,0.1,1219,1219,,one_to_one,official_crosswalk,2700,3600,5405,3000,4925,6100,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,12194,Security manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12,121,1219,scored,0.42,0.42,0.42,75.1,741.5,987,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,0.1,0.1,0.1,1219,1219,,one_to_one,official_crosswalk,5020,7737,11331,5214,7838,11410,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,12195,Intellectual property manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12,121,1219,scored,0.42,0.42,0.42,75.1,741.5,987,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,0.1,0.1,0.1,1219,1219,,one_to_one,official_crosswalk,,,,,,,,,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.|MOM does not publish a 2025 detailed wage row for this occupation.
9.0,12199,Other business services/administration manager n.e.c.,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12,121,1219,scored,0.42,0.42,0.42,75.1,741.5,987,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,0.1,0.1,0.1,1219,1219,,one_to_one,official_crosswalk,,,,,,,,,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.|MOM does not publish a 2025 detailed wage row for this occupation.
9.0,12211,Sales manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12,122,1221,scored,0.41,0.41,0.41,73.3,724,987,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,0.09,0.09,0.09,1221,1221,,one_to_one,official_crosswalk,5600,8145,13125,6000,8559,13631,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,12212,Business development manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12,122,1221,scored,0.41,0.41,0.41,73.3,724,987,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,0.09,0.09,0.09,1221,1221,,one_to_one,official_crosswalk,6677,9716,15350,6865,10000,15736,2025-06,mom_occupational_wages_2025,1,mom_jobs_in_demand_2025,Business development manager,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,12213,Regional sales manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12,122,1221,scored,0.41,0.41,0.41,73.3,724,987,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,0.09,0.09,0.09,1221,1221,,one_to_one,official_crosswalk,8450,12213,16632,8820,12457,17361,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,12214,Merchandising/Category manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12,122,1221,scored,0.41,0.41,0.41,73.3,724,987,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,0.09,0.09,0.09,1221,1221,,one_to_one,official_crosswalk,6317,8508,11956,6584,8670,12420,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,12215,Online sales channel manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12,122,1221,scored,0.41,0.41,0.41,73.3,724,987,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,0.09,0.09,0.09,1221,1221,,one_to_one,official_crosswalk,7509,10393,13985,7659,10405,14173,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,12221,Advertising/Public relations manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12,122,1222,scored,0.39,0.39,0.39,70.3,694.5,987,Minimal Exposure,Minimal Exposure,Minimal Exposure,0.05,0.05,0.05,1222,1222,,one_to_one,official_crosswalk,5500,7546,10850,5640,7711,11046,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,12222,Marketing manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12,122,1222,scored,0.41,0.41,0.41,73.3,724,987,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,0.09,0.09,0.09,1221,1221,,one_to_one,official_crosswalk,6573,9856,15070,6773,10069,15600,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,12230,Research and development manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12,122,1223,scored,0.4,0.4,0.4,72,710.5,987,Minimal Exposure,Minimal Exposure,Minimal Exposure,0.06,0.06,0.06,1223,1223,,one_to_one,official_crosswalk,8713,11859,16251,8988,12000,16547,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,12241,Customer service manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12,122,1224,scored,0.42,0.42,0.42,75.1,741.5,987,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,0.1,0.1,0.1,1219,1219,,one_to_one,official_crosswalk,6134,8461,11524,6300,8700,11875,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,12242,Call centre manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12,122,1224,scored,0.42,0.42,0.42,75.1,741.5,987,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,0.1,0.1,0.1,1219,1219,,one_to_one,official_crosswalk,4346,6400,8977,4346,6428,9230,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,13100,Production manager in agriculture/fisheries,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",13,131,1310,scored,0.245,0.22,0.27,30.3,299.5,987,Not Exposed|Minimal Exposure,Not Exposed,Minimal Exposure,0.105,0.08,0.13,1311|1312,1311|1312,,partial,official_crosswalk,,,,,,,,,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.|SSOC maps to multiple ISCO groups without official employment weights; the median and range are shown.|MOM does not publish a 2025 detailed wage row for this occupation.
9.0,13210,Manufacturing manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",13,132,1321,scored,0.38,0.38,0.38,67.6,667.5,987,Minimal Exposure,Minimal Exposure,Minimal Exposure,0.11,0.11,0.11,1321,1321,,one_to_one,official_crosswalk,4000,6864,10579,4285,7315,10922,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,13230,Construction manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",13,132,1323,scored,0.34,0.34,0.34,55.6,549,987,Minimal Exposure,Minimal Exposure,Minimal Exposure,0.06,0.06,0.06,1323,1323,,one_to_one,official_crosswalk,3572,5821,8800,3800,6000,9057,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,13241,Supply and distribution/Logistics/Warehousing manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",13,132,1324,scored,0.38,0.38,0.38,67.6,667.5,987,Minimal Exposure,Minimal Exposure,Minimal Exposure,0.05,0.05,0.05,1324,1324,,one_to_one,official_crosswalk,5572,8205,12338,5833,8500,12678,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,13242,Procurement/Purchasing manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",13,132,1324,scored,0.38,0.38,0.38,67.6,667.5,987,Minimal Exposure,Minimal Exposure,Minimal Exposure,0.05,0.05,0.05,1324,1324,,one_to_one,official_crosswalk,6237,8495,12620,6386,8644,13042,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,13243,Transport/Technical operations manager (excluding port and shipping operations),1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",13,132,1324,scored,0.38,0.38,0.38,67.6,667.5,987,Minimal Exposure,Minimal Exposure,Minimal Exposure,0.05,0.05,0.05,1324,1324,,one_to_one,official_crosswalk,4141,6121,9000,4592,6297,9165,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,13244,Postal service manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",13,132,1324,scored,0.38,0.38,0.38,67.6,667.5,987,Minimal Exposure,Minimal Exposure,Minimal Exposure,0.05,0.05,0.05,1324,1324,,one_to_one,official_crosswalk,5589,9832,13605,5939,10878,14688,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,13245,Port/Shipping operations manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",13,132,1324,scored,0.38,0.38,0.38,67.6,667.5,987,Minimal Exposure,Minimal Exposure,Minimal Exposure,0.05,0.05,0.05,1324,1324,,one_to_one,official_crosswalk,7180,9518,15000,7384,9681,15200,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,13291,Technical/Engineering services manager (excluding transport),1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",13,132,1329,scored,0.36,0.34,0.38,60.2,594.5,987,Minimal Exposure,Minimal Exposure,Minimal Exposure,0.085,0.06,0.11,1323|1321,1323|1321,,partial,official_crosswalk,6704,9940,13687,7039,10112,14114,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.|SSOC maps to multiple ISCO groups without official employment weights; the median and range are shown.
9.0,13292,Quality control/assurance manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",13,132,1329,scored,0.36,0.34,0.38,60.2,594.5,987,Minimal Exposure,Minimal Exposure,Minimal Exposure,0.085,0.06,0.11,1323|1321,1323|1321,,partial,official_crosswalk,6644,9057,12888,7000,9500,13220,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.|SSOC maps to multiple ISCO groups without official employment weights; the median and range are shown.
9.0,13299,Other production/operations manager n.e.c.,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",13,132,1329,scored,0.35,0.35,0.35,57.4,567,987,Minimal Exposure,Minimal Exposure,Minimal Exposure,0.11,0.11,0.11,1322,1322,,one_to_one,official_crosswalk,,,,,,,,,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.|MOM does not publish a 2025 detailed wage row for this occupation.
9.0,13301,Chief information officer/Chief technology officer/Chief information security officer,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",13,133,1330,scored,0.44,0.44,0.44,78.3,773,987,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,0.07,0.07,0.07,1330,1330,,one_to_one,official_crosswalk,12158,17500,20000,12763,17812,20000,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,13302,Software and applications manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",13,133,1330,scored,0.44,0.44,0.44,78.3,773,987,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,0.07,0.07,0.07,1330,1330,,one_to_one,official_crosswalk,8998,12000,16344,9243,12500,16816,2025-06,mom_occupational_wages_2025,1,mom_sol_2026,Software and applications manager,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,13303,Network/Communications/Infrastructure manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",13,133,1330,scored,0.44,0.44,0.44,78.3,773,987,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,0.07,0.07,0.07,1330,1330,,one_to_one,official_crosswalk,8500,10680,14719,8600,10911,15032,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,13304,ICT service manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",13,133,1330,scored,0.44,0.44,0.44,78.3,773,987,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,0.07,0.07,0.07,1330,1330,,one_to_one,official_crosswalk,7178,9398,12312,7249,9510,12436,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,13305,Chief product officer,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",13,133,1330,scored,0.425,0.41,0.44,76.2,752,987,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,0.08,0.07,0.09,1221|1330,1221|1330,,partial,official_crosswalk,,,,,,,,,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.|SSOC maps to multiple ISCO groups without official employment weights; the median and range are shown.|MOM does not publish a 2025 detailed wage row for this occupation.
9.0,13306,ICT product design manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",13,133,1330,scored,0.44,0.44,0.44,78.3,773,987,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,0.07,0.07,0.07,1330,1330,,one_to_one,official_crosswalk,,,,,,,,,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.|MOM does not publish a 2025 detailed wage row for this occupation.
