quarter,industry1,industry2,occupation1,job_vacancy_rate
"1998-Q2","manufacturing","food, beverages and tobacco","clerical, sales and services workers","2.2"
"1998-Q2","manufacturing","food, beverages and tobacco","production and transport operators, cleaners and labourers","1.1"
"1998-Q2","manufacturing","textile and wearing apparel","total","2.9"
"1998-Q2","manufacturing","textile and wearing apparel","professional, managers, executive and technicians","-"
"1998-Q2","manufacturing","textile and wearing apparel","clerical, sales and services workers","-"
"1998-Q2","manufacturing","textile and wearing apparel","production and transport operators, cleaners and labourers","3.8"
"1998-Q2","manufacturing","paper products and publishing","total","1.2"
"1998-Q2","manufacturing","paper products and publishing","professional, managers, executive and technicians","-"
"1998-Q2","manufacturing","paper products and publishing","clerical, sales and services workers","-"
"1998-Q2","manufacturing","paper products and publishing","production and transport operators, cleaners and labourers","1.2"
"1998-Q2","manufacturing","petroleum and chemical products","total","1.5"
"1998-Q2","manufacturing","petroleum and chemical products","professional, managers, executive and technicians","1.7"
"1998-Q2","manufacturing","petroleum and chemical products","clerical, sales and services workers","-"
"1998-Q2","manufacturing","petroleum and chemical products","production and transport operators, cleaners and labourers","1.6"
"1998-Q2","manufacturing","rubber and plastic products","total","1.3"
"1998-Q2","manufacturing","rubber and plastic products","professional, managers, executive and technicians","-"
"1998-Q2","manufacturing","rubber and plastic products","clerical, sales and services workers","-"
"1998-Q2","manufacturing","rubber and plastic products","production and transport operators, cleaners and labourers","1.3"
"1998-Q2","manufacturing","fabricated metal products","total","1.2"
"1998-Q2","manufacturing","fabricated metal products","professional, managers, executive and technicians","-"
"1998-Q2","manufacturing","fabricated metal products","clerical, sales and services workers","-"
"1998-Q2","manufacturing","fabricated metal products","production and transport operators, cleaners and labourers","1.4"
"1998-Q2","manufacturing","machinery and equipment","total","1.8"
"1998-Q2","manufacturing","machinery and equipment","professional, managers, executive and technicians","1.4"
"1998-Q2","manufacturing","machinery and equipment","clerical, sales and services workers","-"
"1998-Q2","manufacturing","machinery and equipment","production and transport operators, cleaners and labourers","2"
"1998-Q2","manufacturing","electrical products","total","0.6"
"1998-Q2","manufacturing","electrical products","professional, managers, executive and technicians","-"
"1998-Q2","manufacturing","electrical products","clerical, sales and services workers","-"
"1998-Q2","manufacturing","electrical products","production and transport operators, cleaners and labourers","-"
"1998-Q2","manufacturing","electronic products","total","0.8"
"1998-Q2","manufacturing","electronic products","professional, managers, executive and technicians","1.8"
"1998-Q2","manufacturing","electronic products","clerical, sales and services workers","0.7"
"1998-Q2","manufacturing","electronic products","production and transport operators, cleaners and labourers","0.4"
"1998-Q2","manufacturing","medical and precision instruments","total","2"
"1998-Q2","manufacturing","medical and precision instruments","professional, managers, executive and technicians","3"
"1998-Q2","manufacturing","medical and precision instruments","clerical, sales and services workers","-"
"1998-Q2","manufacturing","medical and precision instruments","production and transport operators, cleaners and labourers","1.7"
"1998-Q2","manufacturing","transport equipment","total","2.7"
"1998-Q2","manufacturing","transport equipment","professional, managers, executive and technicians","2.7"
"1998-Q2","manufacturing","transport equipment","clerical, sales and services workers","3.1"
"1998-Q2","manufacturing","transport equipment","production and transport operators, cleaners and labourers","2.7"
"1998-Q2","manufacturing","other manufacturing industries","total","0.8"
"1998-Q2","manufacturing","other manufacturing industries","professional, managers, executive and technicians","-"
"1998-Q2","manufacturing","other manufacturing industries","clerical, sales and services workers","-"
"1998-Q2","manufacturing","other manufacturing industries","production and transport operators, cleaners and labourers","0.7"
"1998-Q2","construction","construction","total","1.9"
"1998-Q2","construction","construction","professional, managers, executive and technicians","1.3"
"1998-Q2","construction","construction","clerical, sales and services workers","1.4"
"1998-Q2","construction","construction","production and transport operators, cleaners and labourers","2"
"1998-Q2","services","wholesale and retail trade","total","1.6"
"1998-Q2","services","wholesale and retail trade","professional, managers, executive and technicians","1.4"
"1998-Q2","services","wholesale and retail trade","clerical, sales and services workers","2"
"1998-Q2","services","wholesale and retail trade","production and transport operators, cleaners and labourers","0.9"
"1998-Q2","services","hotels and restaurants","total","5.5"
"1998-Q2","services","hotels and restaurants","professional, managers, executive and technicians","2.7"
"1998-Q2","services","hotels and restaurants","clerical, sales and services workers","6.2"
"1998-Q2","services","hotels and restaurants","production and transport operators, cleaners and labourers","3.5"
"1998-Q2","services","transport, storage and communications","total","2.4"
"1998-Q2","services","transport, storage and communications","professional, managers, executive and technicians","2.8"
"1998-Q2","services","transport, storage and communications","clerical, sales and services workers","2.7"
"1998-Q2","services","transport, storage and communications","production and transport operators, cleaners and labourers","1.7"
"1998-Q2","services","financial intermediation","total","1.8"
"1998-Q2","services","financial intermediation","professional, managers, executive and technicians","1.5"
"1998-Q2","services","financial intermediation","clerical, sales and services workers","2"
"1998-Q2","services","financial intermediation","production and transport operators, cleaners and labourers","1.9"
"1998-Q2","services","business and real estate services","total","1.8"
"1998-Q2","services","business and real estate services","professional, managers, executive and technicians","1.7"
"1998-Q2","services","business and real estate services","clerical, sales and services workers","2.2"
"1998-Q2","services","business and real estate services","production and transport operators, cleaners and labourers","1.3"
"1998-Q2","services","community, social and personal services","total","3.2"
"1998-Q2","services","community, social and personal services","professional, managers, executive and technicians","3.4"
"1998-Q2","services","community, social and personal services","clerical, sales and services workers","3.6"
"1998-Q2","services","community, social and personal services","production and transport operators, cleaners and labourers","1.8"
"1998-Q2","others","others","total","-"
"1998-Q2","others","others","professional, managers, executive and technicians","-"
"1998-Q2","others","others","clerical, sales and services workers","-"
"1998-Q2","others","others","production and transport operators, cleaners and labourers","-"
"1998-Q3","total","total","total","1.5"
"1998-Q3","total","total","professional, managers, executive and technicians","1.5"
"1998-Q3","total","total","clerical, sales and services workers","1.9"
"1998-Q3","total","total","production and transport operators, cleaners and labourers","1.4"
"1998-Q3","manufacturing","food, beverages and tobacco","total","0.9"
"1998-Q3","manufacturing","food, beverages and tobacco","professional, managers, executive and technicians","-"
"1998-Q3","manufacturing","food, beverages and tobacco","clerical, sales and services workers","-"
"1998-Q3","manufacturing","food, beverages and tobacco","production and transport operators, cleaners and labourers","1.1"
"1998-Q3","manufacturing","textile and wearing apparel","total","3.4"
"1998-Q3","manufacturing","textile and wearing apparel","professional, managers, executive and technicians","-"
"1998-Q3","manufacturing","textile and wearing apparel","clerical, sales and services workers","-"
"1998-Q3","manufacturing","textile and wearing apparel","production and transport operators, cleaners and labourers","4.4"
"1998-Q3","manufacturing","paper products and publishing","total","1"
"1998-Q3","manufacturing","paper products and publishing","professional, managers, executive and technicians","1.2"
"1998-Q3","manufacturing","paper products and publishing","clerical, sales and services workers","-"
"1998-Q3","manufacturing","paper products and publishing","production and transport operators, cleaners and labourers","0.8"
"1998-Q3","manufacturing","petroleum and chemical products","total","1"
"1998-Q3","manufacturing","petroleum and chemical products","professional, managers, executive and technicians","0.9"
"1998-Q3","manufacturing","petroleum and chemical products","clerical, sales and services workers","-"
"1998-Q3","manufacturing","petroleum and chemical products","production and transport operators, cleaners and labourers","1.3"
"1998-Q3","manufacturing","rubber and plastic products","total","1.3"
"1998-Q3","manufacturing","rubber and plastic products","professional, managers, executive and technicians","-"
"1998-Q3","manufacturing","rubber and plastic products","clerical, sales and services workers","-"
"1998-Q3","manufacturing","rubber and plastic products","production and transport operators, cleaners and labourers","1.3"
"1998-Q3","manufacturing","fabricated metal products","total","1.1"
"1998-Q3","manufacturing","fabricated metal products","professional, managers, executive and technicians","-"
"1998-Q3","manufacturing","fabricated metal products","clerical, sales and services workers","-"
"1998-Q3","manufacturing","fabricated metal products","production and transport operators, cleaners and labourers","1.2"
"1998-Q3","manufacturing","machinery and equipment","total","1.1"
"1998-Q3","manufacturing","machinery and equipment","professional, managers, executive and technicians","1.1"
"1998-Q3","manufacturing","machinery and equipment","clerical, sales and services workers","-"
"1998-Q3","manufacturing","machinery and equipment","production and transport operators, cleaners and labourers","1.2"
"1998-Q3","manufacturing","electrical products","total","-"
"1998-Q3","manufacturing","electrical products","professional, managers, executive and technicians","-"
"1998-Q3","manufacturing","electrical products","clerical, sales and services workers","-"
"1998-Q3","manufacturing","electrical products","production and transport operators, cleaners and labourers","-"
"1998-Q3","manufacturing","electronic products","total","1.2"
"1998-Q3","manufacturing","electronic products","professional, managers, executive and technicians","1.9"
"1998-Q3","manufacturing","electronic products","clerical, sales and services workers","-"
"1998-Q3","manufacturing","electronic products","production and transport operators, cleaners and labourers","0.9"
"1998-Q3","manufacturing","medical and precision instruments","total","-"
"1998-Q3","manufacturing","medical and precision instruments","professional, managers, executive and technicians","-"
"1998-Q3","manufacturing","medical and precision instruments","clerical, sales and services workers","-"
"1998-Q3","manufacturing","medical and precision instruments","production and transport operators, cleaners and labourers","-"
"1998-Q3","manufacturing","transport equipment","total","2.1"
"1998-Q3","manufacturing","transport equipment","professional, managers, executive and technicians","2.5"
"1998-Q3","manufacturing","transport equipment","clerical, sales and services workers","2.2"
"1998-Q3","manufacturing","transport equipment","production and transport operators, cleaners and labourers","1.9"
"1998-Q3","manufacturing","other manufacturing industries","total","0.7"
"1998-Q3","manufacturing","other manufacturing industries","professional, managers, executive and technicians","-"
"1998-Q3","manufacturing","other manufacturing industries","clerical, sales and services workers","-"
"1998-Q3","manufacturing","other manufacturing industries","production and transport operators, cleaners and labourers","0.7"
"1998-Q3","construction","construction","total","1.4"
"1998-Q3","construction","construction","professional, managers, executive and technicians","1.1"
"1998-Q3","construction","construction","clerical, sales and services workers","0.7"
"1998-Q3","construction","construction","production and transport operators, cleaners and labourers","1.5"
"1998-Q3","services","wholesale and retail trade","total","1.2"
"1998-Q3","services","wholesale and retail trade","professional, managers, executive and technicians","1"
"1998-Q3","services","wholesale and retail trade","clerical, sales and services workers","1.6"
"1998-Q3","services","wholesale and retail trade","production and transport operators, cleaners and labourers","0.9"
"1998-Q3","services","hotels and restaurants","total","2.3"
"1998-Q3","services","hotels and restaurants","professional, managers, executive and technicians","1.1"
"1998-Q3","services","hotels and restaurants","clerical, sales and services workers","2.3"
"1998-Q3","services","hotels and restaurants","production and transport operators, cleaners and labourers","3.5"
"1998-Q3","services","transport, storage and communications","total","2.1"
"1998-Q3","services","transport, storage and communications","professional, managers, executive and technicians","2.1"
"1998-Q3","services","transport, storage and communications","clerical, sales and services workers","2.7"
"1998-Q3","services","transport, storage and communications","production and transport operators, cleaners and labourers","1.3"
"1998-Q3","services","financial intermediation","total","1.2"
"1998-Q3","services","financial intermediation","professional, managers, executive and technicians","1.3"
"1998-Q3","services","financial intermediation","clerical, sales and services workers","1.1"
"1998-Q3","services","financial intermediation","production and transport operators, cleaners and labourers","-"
"1998-Q3","services","business and real estate services","total","1.6"
"1998-Q3","services","business and real estate services","professional, managers, executive and technicians","1.3"
"1998-Q3","services","business and real estate services","clerical, sales and services workers","2.2"
"1998-Q3","services","business and real estate services","production and transport operators, cleaners and labourers","1.6"
"1998-Q3","services","community, social and personal services","total","2.8"
"1998-Q3","services","community, social and personal services","professional, managers, executive and technicians","2.7"
"1998-Q3","services","community, social and personal services","clerical, sales and services workers","3.2"
"1998-Q3","services","community, social and personal services","production and transport operators, cleaners and labourers","1.7"
"1998-Q3","others","others","total","-"
"1998-Q3","others","others","professional, managers, executive and technicians","-"
"1998-Q3","others","others","clerical, sales and services workers","-"
"1998-Q3","others","others","production and transport operators, cleaners and labourers","-"
"1998-Q4","total","total","total","1.3"
"1998-Q4","total","total","professional, managers, executive and technicians","1.4"
"1998-Q4","total","total","clerical, sales and services workers","1.6"
"1998-Q4","total","total","production and transport operators, cleaners and labourers","1"
"1998-Q4","manufacturing","food, beverages and tobacco","total","1"
"1998-Q4","manufacturing","food, beverages and tobacco","professional, managers, executive and technicians","-"
"1998-Q4","manufacturing","food, beverages and tobacco","clerical, sales and services workers","-"
"1998-Q4","manufacturing","food, beverages and tobacco","production and transport operators, cleaners and labourers","1.9"
"1998-Q4","manufacturing","textile and wearing apparel","total","3.2"
"1998-Q4","manufacturing","textile and wearing apparel","professional, managers, executive and technicians","-"
"1998-Q4","manufacturing","textile and wearing apparel","clerical, sales and services workers","-"
"1998-Q4","manufacturing","textile and wearing apparel","production and transport operators, cleaners and labourers","3.8"
"1998-Q4","manufacturing","paper products and publishing","total","1.5"
"1998-Q4","manufacturing","paper products and publishing","professional, managers, executive and technicians","1.6"
"1998-Q4","manufacturing","paper products and publishing","clerical, sales and services workers","-"
"1998-Q4","manufacturing","paper products and publishing","production and transport operators, cleaners and labourers","1.7"
"1998-Q4","manufacturing","petroleum and chemical products","total","0.6"
"1998-Q4","manufacturing","petroleum and chemical products","professional, managers, executive and technicians","-"
"1998-Q4","manufacturing","petroleum and chemical products","clerical, sales and services workers","-"
"1998-Q4","manufacturing","petroleum and chemical products","production and transport operators, cleaners and labourers","-"
"1998-Q4","manufacturing","rubber and plastic products","total","2"
"1998-Q4","manufacturing","rubber and plastic products","professional, managers, executive and technicians","3.2"
"1998-Q4","manufacturing","rubber and plastic products","clerical, sales and services workers","4.5"
"1998-Q4","manufacturing","rubber and plastic products","production and transport operators, cleaners and labourers","1.4"
"1998-Q4","manufacturing","fabricated metal products","total","0.7"
"1998-Q4","manufacturing","fabricated metal products","professional, managers, executive and technicians","0.9"
"1998-Q4","manufacturing","fabricated metal products","clerical, sales and services workers","-"
"1998-Q4","manufacturing","fabricated metal products","production and transport operators, cleaners and labourers","0.7"
"1998-Q4","manufacturing","machinery and equipment","total","0.6"
"1998-Q4","manufacturing","machinery and equipment","professional, managers, executive and technicians","0.8"
"1998-Q4","manufacturing","machinery and equipment","clerical, sales and services workers","-"
"1998-Q4","manufacturing","machinery and equipment","production and transport operators, cleaners and labourers","0.5"
"1998-Q4","manufacturing","electrical products","total","-"
"1998-Q4","manufacturing","electrical products","professional, managers, executive and technicians","-"
"1998-Q4","manufacturing","electrical products","clerical, sales and services workers","-"
"1998-Q4","manufacturing","electrical products","production and transport operators, cleaners and labourers","-"
"1998-Q4","manufacturing","electronic products","total","1.5"
"1998-Q4","manufacturing","electronic products","professional, managers, executive and technicians","1.8"
"1998-Q4","manufacturing","electronic products","clerical, sales and services workers","1.2"
"1998-Q4","manufacturing","electronic products","production and transport operators, cleaners and labourers","1.3"
"1998-Q4","manufacturing","medical and precision instruments","total","0.5"
"1998-Q4","manufacturing","medical and precision instruments","professional, managers, executive and technicians","-"
"1998-Q4","manufacturing","medical and precision instruments","clerical, sales and services workers","-"
"1998-Q4","manufacturing","medical and precision instruments","production and transport operators, cleaners and labourers","-"
"1998-Q4","manufacturing","transport equipment","total","2"
"1998-Q4","manufacturing","transport equipment","professional, managers, executive and technicians","2.5"
"1998-Q4","manufacturing","transport equipment","clerical, sales and services workers","-"
"1998-Q4","manufacturing","transport equipment","production and transport operators, cleaners and labourers","2"
"1998-Q4","manufacturing","other manufacturing industries","total","0.6"
"1998-Q4","manufacturing","other manufacturing industries","professional, managers, executive and technicians","-"
"1998-Q4","manufacturing","other manufacturing industries","clerical, sales and services workers","-"
"1998-Q4","manufacturing","other manufacturing industries","production and transport operators, cleaners and labourers","0.5"
"1998-Q4","construction","construction","total","0.7"
"1998-Q4","construction","construction","professional, managers, executive and technicians","0.8"
"1998-Q4","construction","construction","clerical, sales and services workers","0.6"
"1998-Q4","construction","construction","production and transport operators, cleaners and labourers","0.7"
"1998-Q4","services","wholesale and retail trade","total","0.8"
"1998-Q4","services","wholesale and retail trade","professional, managers, executive and technicians","1.1"
"1998-Q4","services","wholesale and retail trade","clerical, sales and services workers","0.7"
"1998-Q4","services","wholesale and retail trade","production and transport operators, cleaners and labourers","0.5"
"1998-Q4","services","hotels and restaurants","total","2"
"1998-Q4","services","hotels and restaurants","professional, managers, executive and technicians","1.7"
"1998-Q4","services","hotels and restaurants","clerical, sales and services workers","2"
"1998-Q4","services","hotels and restaurants","production and transport operators, cleaners and labourers","2.2"
"1998-Q4","services","transport, storage and communications","total","2"
"1998-Q4","services","transport, storage and communications","professional, managers, executive and technicians","1.4"
"1998-Q4","services","transport, storage and communications","clerical, sales and services workers","3.2"
"1998-Q4","services","transport, storage and communications","production and transport operators, cleaners and labourers","1.1"
"1998-Q4","services","financial intermediation","total","0.9"
"1998-Q4","services","financial intermediation","professional, managers, executive and technicians","1"
"1998-Q4","services","financial intermediation","clerical, sales and services workers","0.8"
"1998-Q4","services","financial intermediation","production and transport operators, cleaners and labourers","-"
"1998-Q4","services","business and real estate services","total","1.7"
"1998-Q4","services","business and real estate services","professional, managers, executive and technicians","1.5"
"1998-Q4","services","business and real estate services","clerical, sales and services workers","2.2"
"1998-Q4","services","business and real estate services","production and transport operators, cleaners and labourers","1.3"
"1998-Q4","services","community, social and personal services","total","2.4"
"1998-Q4","services","community, social and personal services","professional, managers, executive and technicians","2.6"
"1998-Q4","services","community, social and personal services","clerical, sales and services workers","2.4"
"1998-Q4","services","community, social and personal services","production and transport operators, cleaners and labourers","1.8"
"1998-Q4","others","others","total","1"
"1998-Q4","others","others","professional, managers, executive and technicians","-"
"1998-Q4","others","others","clerical, sales and services workers","-"
"1998-Q4","others","others","production and transport operators, cleaners and labourers","1.2"
"1999-Q1","total","total","total","1.8"
"1999-Q1","total","total","professional, managers, executive and technicians","1.7"
"1999-Q1","total","total","clerical, sales and services workers","2.3"
"1999-Q1","total","total","production and transport operators, cleaners and labourers","1.5"
"1999-Q1","manufacturing","food, beverages and tobacco","total","-"
"1999-Q1","manufacturing","food, beverages and tobacco","professional, managers, executive and technicians","-"
"1999-Q1","manufacturing","food, beverages and tobacco","clerical, sales and services workers","-"
"1999-Q1","manufacturing","food, beverages and tobacco","production and transport operators, cleaners and labourers","-"
"1999-Q1","manufacturing","textile and wearing apparel","total","3.4"
"1999-Q1","manufacturing","textile and wearing apparel","professional, managers, executive and technicians","-"
"1999-Q1","manufacturing","textile and wearing apparel","clerical, sales and services workers","-"
"1999-Q1","manufacturing","textile and wearing apparel","production and transport operators, cleaners and labourers","4.1"
"1999-Q1","manufacturing","paper products and publishing","total","1.3"
"1999-Q1","manufacturing","paper products and publishing","professional, managers, executive and technicians","-"
"1999-Q1","manufacturing","paper products and publishing","clerical, sales and services workers","-"
"1999-Q1","manufacturing","paper products and publishing","production and transport operators, cleaners and labourers","1.4"
"1999-Q1","manufacturing","petroleum and chemical products","total","0.9"
"1999-Q1","manufacturing","petroleum and chemical products","professional, managers, executive and technicians","0.9"
"1999-Q1","manufacturing","petroleum and chemical products","clerical, sales and services workers","-"
"1999-Q1","manufacturing","petroleum and chemical products","production and transport operators, cleaners and labourers","0.8"
"1999-Q1","manufacturing","rubber and plastic products","total","2.6"
"1999-Q1","manufacturing","rubber and plastic products","professional, managers, executive and technicians","2.6"
"1999-Q1","manufacturing","rubber and plastic products","clerical, sales and services workers","-"
"1999-Q1","manufacturing","rubber and plastic products","production and transport operators, cleaners and labourers","2.6"
"1999-Q1","manufacturing","fabricated metal products","total","1"
"1999-Q1","manufacturing","fabricated metal products","professional, managers, executive and technicians","1.2"
"1999-Q1","manufacturing","fabricated metal products","clerical, sales and services workers","-"
"1999-Q1","manufacturing","fabricated metal products","production and transport operators, cleaners and labourers","0.9"
"1999-Q1","manufacturing","machinery and equipment","total","1"
"1999-Q1","manufacturing","machinery and equipment","professional, managers, executive and technicians","0.8"
"1999-Q1","manufacturing","machinery and equipment","clerical, sales and services workers","-"
"1999-Q1","manufacturing","machinery and equipment","production and transport operators, cleaners and labourers","1.1"
"1999-Q1","manufacturing","electrical products","total","0.7"
"1999-Q1","manufacturing","electrical products","professional, managers, executive and technicians","-"
"1999-Q1","manufacturing","electrical products","clerical, sales and services workers","-"
"1999-Q1","manufacturing","electrical products","production and transport operators, cleaners and labourers","-"
"1999-Q1","manufacturing","electronic products","total","1.8"
"1999-Q1","manufacturing","electronic products","professional, managers, executive and technicians","2.3"
"1999-Q1","manufacturing","electronic products","clerical, sales and services workers","2.2"
"1999-Q1","manufacturing","electronic products","production and transport operators, cleaners and labourers","1.6"
"1999-Q1","manufacturing","medical and precision instruments","total","0.6"
"1999-Q1","manufacturing","medical and precision instruments","professional, managers, executive and technicians","-"
"1999-Q1","manufacturing","medical and precision instruments","clerical, sales and services workers","-"
"1999-Q1","manufacturing","medical and precision instruments","production and transport operators, cleaners and labourers","-"
"1999-Q1","manufacturing","transport equipment","total","1.6"
"1999-Q1","manufacturing","transport equipment","professional, managers, executive and technicians","1.8"
"1999-Q1","manufacturing","transport equipment","clerical, sales and services workers","-"
"1999-Q1","manufacturing","transport equipment","production and transport operators, cleaners and labourers","1.6"
"1999-Q1","manufacturing","other manufacturing industries","total","0.9"
"1999-Q1","manufacturing","other manufacturing industries","professional, managers, executive and technicians","-"
"1999-Q1","manufacturing","other manufacturing industries","clerical, sales and services workers","-"
"1999-Q1","manufacturing","other manufacturing industries","production and transport operators, cleaners and labourers","0.7"
"1999-Q1","construction","construction","total","1.6"
"1999-Q1","construction","construction","professional, managers, executive and technicians","0.9"
"1999-Q1","construction","construction","clerical, sales and services workers","0.9"
"1999-Q1","construction","construction","production and transport operators, cleaners and labourers","1.7"
"1999-Q1","services","wholesale and retail trade","total","1.8"
"1999-Q1","services","wholesale and retail trade","professional, managers, executive and technicians","1.5"
"1999-Q1","services","wholesale and retail trade","clerical, sales and services workers","2.2"
"1999-Q1","services","wholesale and retail trade","production and transport operators, cleaners and labourers","1.3"
"1999-Q1","services","hotels and restaurants","total","2.3"
"1999-Q1","services","hotels and restaurants","professional, managers, executive and technicians","2.5"
"1999-Q1","services","hotels and restaurants","clerical, sales and services workers","2.1"
"1999-Q1","services","hotels and restaurants","production and transport operators, cleaners and labourers","3.1"
"1999-Q1","services","transport, storage and communications","total","2.4"
"1999-Q1","services","transport, storage and communications","professional, managers, executive and technicians","1.8"
